study	broad_lineage	cluster	n_cells	chosen_label	accepted	best_candidate_before_parent_fallback	best_total_score	second_total_score	score_margin	marker_pct	marker_winner_fraction	source_fraction	source_count_mean	marker_availability	cluster_reason	top_celltypist_label	top_azimuth_pbmc_l2_label	top_azimuth_pbmc_l3_label	top_panhuman_fine_label	top_panhuman_medium_label	top_cluster_consensus_label	top_screfmapping_label	median_n_genes_by_counts	median_total_counts	median_pct_counts_mt
vaccination_study_09	T/NK	T_NK_lineage:9	3668	CD8 Cytotoxic / T Effector Memory	True	CD8 Cytotoxic / T Effector Memory	1.6845441196872797	0.7461791346055252	0.9383649850817545	0.9031544727064875	0.269629225736096	0.34526405982240216	2.4168484187568158	1.0	cluster_consensus_marker_source_support	CD8 Cytotoxic / T Effector Memory:1712; NK Cell:951; CD4 Naive / T Central Memory:695; MAIT Cell:168	CD8 Cytotoxic / T Effector Memory:1779; CD8 Naive / T Central Memory:465; CD4 Naive / T Central Memory:396; Treg:380	Blood Cell:2786; Treg:352; CD4 T Effector Memory:348; RBC:74	CD8 Cytotoxic / T Effector Memory:2636; Blood Cell:446; CD4 Naive / T Central Memory:355; CD4 T Effector Memory:97	T Cell:3340; Blood Cell:296; NK Cell:32	CD8 Cytotoxic / T Effector Memory:2738; MAIT Cell:428; CD4 Naive / T Central Memory:411; NK Cell:40	not_available:3281; CD4 T Effector Memory:186; CD4 Naive / T Central Memory:182; Treg:19	762.0	1192.111344637989	2.2293526680832008
vaccination_study_09	T/NK	T_NK_lineage:11	3560	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.6149669717603332	1.1570073563783645	0.4579596153819687	0.8068876821949129	0.08061797752808988	0.4338282504012841	3.036797752808989	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:2252; CD4 T Effector Memory:601; Treg:185; CD8 Cytotoxic / T Effector Memory:180	CD4 Naive / T Central Memory:2927; CD4 T Effector Memory:187; CD8 Naive / T Central Memory:152; CD8 Cytotoxic / T Effector Memory:118	Blood Cell:3273; CD4 Naive / T Central Memory:105; Treg:100; CD4 T Effector Memory:44	CD4 T Effector Memory:2028; CD4 Naive / T Central Memory:1015; CD8 Cytotoxic / T Effector Memory:252; Blood Cell:111	T Cell:3450; Blood Cell:106; Lymphoid Cell:3; NK Cell:1	CD4 Naive / T Central Memory:2968; CD8 Cytotoxic / T Effector Memory:360; MAIT Cell:142; Treg:68	not_available:1582; CD4 Naive / T Central Memory:1544; CD4 T Effector Memory:378; Treg:56	1067.0	1285.5002514430153	1.9065254554199798
vaccination_study_09	T/NK	T_NK_lineage:10	3500	MAIT Cell	True	MAIT Cell	1.321654127126701	1.1545065563922052	0.16714757073449582	0.6650578736781938	0.07485714285714286	0.34906122448979593	2.4434285714285715	0.8571428571428571	cluster_consensus_marker_source_support	MAIT Cell:2599; CD4 Naive / T Central Memory:347; NK Cell:279; CD8 Cytotoxic / T Effector Memory:180	CD4 Naive / T Central Memory:1278; CD4 T Effector Memory:954; MAIT Cell:735; CD8 Cytotoxic / T Effector Memory:337	Blood Cell:2580; MAIT Cell:763; CD4 T Effector Memory:78; Treg:63	MAIT Cell:1536; CD8 Cytotoxic / T Effector Memory:929; Blood Cell:419; CD4 T Effector Memory:400	T Cell:3085; Blood Cell:392; NK Cell:23	MAIT Cell:2919; CD4 Naive / T Central Memory:330; CD8 Cytotoxic / T Effector Memory:218; NK Cell:28	not_available:3223; CD4 T Effector Memory:166; CD4 Naive / T Central Memory:106; Treg:5	847.0	1251.6296322888338	2.1813367710153564
vaccination_study_09	T/NK	T_NK_lineage:12	3041	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.783475537736268	0.7881883179166828	0.9952872198195853	0.7505072877965133	0.08188096021045708	0.5486916897637055	3.8408418283459387	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:2694; CD8 Cytotoxic / T Effector Memory:126; NK Cell:61; MAIT Cell:51	CD4 Naive / T Central Memory:1852; Treg:788; CD8 Naive / T Central Memory:151; CD8 Cytotoxic / T Effector Memory:91	Blood Cell:1791; Treg:742; CD4 Naive / T Central Memory:414; CD8 Naive / T Central Memory:56	CD4 Naive / T Central Memory:2410; Blood Cell:210; CD4 T Effector Memory:200; CD8 Cytotoxic / T Effector Memory:175	T Cell:2870; Blood Cell:170; NK Cell:1	CD4 Naive / T Central Memory:2537; CD8 Cytotoxic / T Effector Memory:318; CD8 Naive / T Central Memory:84; MAIT Cell:76	CD4 Naive / T Central Memory:1773; not_available:890; CD4 T Effector Memory:335; Treg:43	746.0	1125.3796433084558	2.0504834821304305
vaccination_study_09	T/NK	T_NK_lineage:13	2969	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.9632851546988281	0.8186696335396905	1.1446155211591376	0.8237210631609031	0.11485348602222971	0.5947649521243324	4.163354664870327	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:2624; CD8 Cytotoxic / T Effector Memory:100; Treg:68; CD4 T Effector Memory:66	CD4 Naive / T Central Memory:2404; Treg:285; CD8 Naive / T Central Memory:83; T Cell:80	Blood Cell:2288; CD4 Naive / T Central Memory:347; Treg:262; CD8 Naive / T Central Memory:40	CD4 Naive / T Central Memory:2360; CD4 T Effector Memory:346; CD8 Cytotoxic / T Effector Memory:120; Blood Cell:78	T Cell:2895; Blood Cell:74	CD4 Naive / T Central Memory:2655; CD8 Cytotoxic / T Effector Memory:179; MAIT Cell:44; CD8 Naive / T Central Memory:37	CD4 Naive / T Central Memory:1971; not_available:790; CD4 T Effector Memory:178; Treg:30	875.0	1190.076295229574	1.8278091387212332
vaccination_study_09	T/NK	T_NK_lineage:14	2886	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.6401773089580318	1.0722967009518525	0.5678806080061793	0.7771541869105458	0.0887040887040887	0.45777645777645776	3.2044352044352045	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:2214; Treg:368; CD4 T Effector Memory:77; Blood Cell:47	CD4 Naive / T Central Memory:1377; Treg:1301; CD8 Naive / T Central Memory:86; T Cell:69	Blood Cell:1356; Treg:1247; CD4 Naive / T Central Memory:234; CD8 Naive / T Central Memory:40	CD4 Naive / T Central Memory:2253; CD4 T Effector Memory:238; Treg:193; Blood Cell:122	T Cell:2773; Blood Cell:113	CD4 Naive / T Central Memory:1852; Treg:757; CD8 Cytotoxic / T Effector Memory:142; CD8 Naive / T Central Memory:120	CD4 Naive / T Central Memory:1318; not_available:729; Treg:639; CD4 T Effector Memory:200	784.0	1144.7168395686836	1.9545035446521615
vaccination_study_09	T/NK	T_NK_lineage:15	2834	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.3694613289623658	0.941781062430206	0.42768026653215985	0.6703058016576164	0.068454481298518	0.37443290654299827	2.621030345800988	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1713; NK Cell:435; CD8 Cytotoxic / T Effector Memory:389; CD8 Naive / T Central Memory:111	CD4 Naive / T Central Memory:1228; CD8 Cytotoxic / T Effector Memory:437; Treg:364; CD8 Naive / T Central Memory:345	Blood Cell:1568; CD4 Naive / T Central Memory:391; Treg:358; CD4 T Effector Memory:274	CD4 Naive / T Central Memory:1494; CD8 Cytotoxic / T Effector Memory:754; CD4 T Effector Memory:239; Blood Cell:177	T Cell:2637; Blood Cell:157; NK Cell:40	CD4 Naive / T Central Memory:1558; CD8 Cytotoxic / T Effector Memory:761; CD8 Naive / T Central Memory:245; MAIT Cell:161	not_available:1565; CD4 Naive / T Central Memory:1044; CD4 T Effector Memory:195; Treg:30	823.0	1178.6347733328985	2.1226711639555695
vaccination_study_09	Myeloid/DC	Myeloid_lineage:0	2657	Classical Monocyte	True	Classical Monocyte	1.8079420864772509	0.9431114575668321	0.8648306289104187	0.9166690482995141	0.19345126082047423	0.43588364965858367	3.0511855476100864	1.0	cluster_consensus_marker_source_support	Classical Monocyte:2624; Non-Classical Monocyte:23; Blood Cell:9; CD4 Naive / T Central Memory:1	RBC:2483; Classical Monocyte:153; Non-Classical Monocyte:20; Conventional DC 2:1	RBC:2483; Classical Monocyte:153; Non-Classical Monocyte:20; Blood Cell:1	Classical Monocyte:2643; Blood Cell:6; Non-Classical Monocyte:6; Conventional DC 2:2	Monocyte:2649; Blood Cell:6; DC:2	Classical Monocyte:2534; Blood Cell:116; Non-Classical Monocyte:5; Conventional DC 2:2	not_available:2657	1195.0	1498.7692298121922	1.918111455678452
vaccination_study_09	Myeloid/DC	Myeloid_lineage:2	2543	Non-Classical Monocyte	True	Non-Classical Monocyte	2.893321708567483	0.6515908276553177	2.2417308809121654	0.9889968562446413	0.8808493904836807	0.6834447502949272	4.784113252064491	1.0	cluster_consensus_marker_source_support	Non-Classical Monocyte:2528; Blood Cell:8; Classical Monocyte:4; CD4 Naive / T Central Memory:1	Non-Classical Monocyte:2311; RBC:231; Classical Monocyte:1	Non-Classical Monocyte:2311; RBC:231; Classical Monocyte:1	Non-Classical Monocyte:2489; Intermediate Monocyte:36; Blood Cell:14; Classical Monocyte:4	Monocyte:2529; Blood Cell:14	Non-Classical Monocyte:2527; Classical Monocyte:16	not_available:2543	1415.0	1529.5019189740426	1.8192754026004412
vaccination_study_09	Myeloid/DC	Myeloid_lineage:3	2302	Classical Monocyte	True	Classical Monocyte	1.8375086557736684	0.8416592353928105	0.9958494203808579	0.9415011431837668	0.23457862728062553	0.42236564478093575	2.956559513466551	1.0	cluster_consensus_marker_source_support	Classical Monocyte:2274; Blood Cell:25; Myeloid Cell:2; Plasma Cell:1	RBC:2259; Classical Monocyte:43	RBC:2259; Classical Monocyte:43	Classical Monocyte:2302	Monocyte:2302	Classical Monocyte:2144; Blood Cell:156; Conventional DC 2:2	not_available:2302	1092.0	1455.682067437262	1.9065366236956982
vaccination_study_09	Myeloid/DC	Myeloid_lineage:5	2290	Classical Monocyte	True	Classical Monocyte	1.2294841006618593	1.0856009664199575	0.1438831342419018	0.3308123749642755	0.03275109170305677	0.4766063630692452	3.336244541484716	1.0	cluster_consensus_marker_source_support	Classical Monocyte:2082; Non-Classical Monocyte:120; Myeloid Cell:43; Blood Cell:32	RBC:1426; Classical Monocyte:626; Conventional DC 2:129; Non-Classical Monocyte:109	RBC:1426; Classical Monocyte:626; Blood Cell:128; Non-Classical Monocyte:110	Classical Monocyte:2214; Blood Cell:42; Conventional DC 2:22; Non-Classical Monocyte:10	Monocyte:2226; Blood Cell:42; DC:22	Classical Monocyte:2092; Conventional DC 2:189; Blood Cell:6; Non-Classical Monocyte:3	not_available:2290	1375.5	1540.2523006531046	1.802707448368361
vaccination_study_09	Myeloid/DC	Myeloid_lineage:1	2071	Classical Monocyte	True	Classical Monocyte	1.6918225956043809	0.9810539887991727	0.7107686068052081	0.8857887967990854	0.22114920328343796	0.3777333241360281	2.644133268952197	1.0	cluster_consensus_marker_source_support	Classical Monocyte:2018; Non-Classical Monocyte:25; Blood Cell:21; Myeloid Cell:4	RBC:2054; Classical Monocyte:15; Non-Classical Monocyte:2	RBC:2054; Classical Monocyte:15; Non-Classical Monocyte:2	Classical Monocyte:2060; Non-Classical Monocyte:9; Blood Cell:1; Conventional DC 2:1	Monocyte:2069; Blood Cell:1; DC:1	Classical Monocyte:1368; Blood Cell:692; Non-Classical Monocyte:11	not_available:2071	984.0	1444.0609718869362	1.9586844770295513
vaccination_study_09	Myeloid/DC	Myeloid_lineage:7	1942	Classical Monocyte	True	Classical Monocyte	1.3636962794451917	1.1747852276820678	0.18891105176312384	0.48374178336667617	0.029866117404737384	0.4760188318375754	3.332131822863028	1.0	cluster_consensus_marker_source_support	Classical Monocyte:1569; Non-Classical Monocyte:346; Myeloid Cell:15; Blood Cell:6	RBC:1064; Classical Monocyte:628; Non-Classical Monocyte:236; Conventional DC 2:14	RBC:1064; Classical Monocyte:628; Non-Classical Monocyte:236; Blood Cell:14	Classical Monocyte:1773; Non-Classical Monocyte:103; Blood Cell:62; Intermediate Monocyte:2	Monocyte:1878; Blood Cell:62; DC:2	Classical Monocyte:1873; Blood Cell:42; Non-Classical Monocyte:21; Conventional DC 2:6	not_available:1942	1501.0	1599.9427659155645	1.709288273159902
vaccination_study_09	T/NK	T_NK_lineage:16	1918	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.9080633325435237	0.8098429228167465	1.0982204097267771	0.7824253358102315	0.08915537017726799	0.5960822285118427	4.172575599582899	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1673; CD8 Naive / T Central Memory:69; CD8 Cytotoxic / T Effector Memory:51; CD4 T Effector Memory:43	CD4 Naive / T Central Memory:1365; Treg:263; CD8 Naive / T Central Memory:195; CD8 Cytotoxic / T Effector Memory:40	Blood Cell:807; CD4 Naive / T Central Memory:691; Treg:256; CD8 Naive / T Central Memory:146	CD4 Naive / T Central Memory:1558; CD4 T Effector Memory:137; CD8 Cytotoxic / T Effector Memory:79; Blood Cell:76	T Cell:1848; Blood Cell:69; NK Cell:1	CD4 Naive / T Central Memory:1529; CD8 Naive / T Central Memory:192; CD8 Cytotoxic / T Effector Memory:155; MAIT Cell:31	CD4 Naive / T Central Memory:1187; not_available:616; CD4 T Effector Memory:100; Treg:15	798.0	1138.5094433011136	1.9587757970033057
vaccination_study_09	T/NK	T_NK_lineage:17	1856	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	2.1104067242294415	0.773330438710849	1.3370762855185925	0.8273470991711918	0.15193965517241378	0.6548645320197043	4.584051724137931	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1787; CD8 Naive / T Central Memory:37; CD8 Cytotoxic / T Effector Memory:17; NK Cell:4	CD4 Naive / T Central Memory:1261; Treg:463; CD8 Naive / T Central Memory:109; CD8 Cytotoxic / T Effector Memory:10	Blood Cell:691; CD4 Naive / T Central Memory:606; Treg:465; CD8 Naive / T Central Memory:93	CD4 Naive / T Central Memory:1736; CD4 T Effector Memory:38; CD8 Naive / T Central Memory:36; Blood Cell:28	T Cell:1831; Blood Cell:25	CD4 Naive / T Central Memory:1715; CD8 Naive / T Central Memory:83; CD8 Cytotoxic / T Effector Memory:47; Treg:6	CD4 Naive / T Central Memory:1403; not_available:408; CD4 T Effector Memory:34; Treg:11	806.0	1126.7560737177905	1.9223256957188504
vaccination_study_09	T/NK	T_NK_lineage:18	1707	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.6481761541160773	0.7906452169864249	0.8575309371296524	0.734274078308088	0.08611599297012303	0.4833877311908946	3.3837141183362625	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1376; CD8 Naive / T Central Memory:88; CD8 Cytotoxic / T Effector Memory:78; NK Cell:54	CD4 Naive / T Central Memory:928; Treg:463; CD8 Naive / T Central Memory:171; CD8 Cytotoxic / T Effector Memory:64	Blood Cell:799; Treg:406; CD4 Naive / T Central Memory:322; CD8 Naive / T Central Memory:132	CD4 Naive / T Central Memory:1141; Blood Cell:249; CD8 Cytotoxic / T Effector Memory:111; CD4 T Effector Memory:99	T Cell:1502; Blood Cell:200; NK Cell:5	CD4 Naive / T Central Memory:1255; CD8 Naive / T Central Memory:182; CD8 Cytotoxic / T Effector Memory:139; Treg:83	not_available:771; CD4 Naive / T Central Memory:754; CD4 T Effector Memory:101; Treg:81	839.0	1168.2575294709764	2.1226171933537366
vaccination_study_09	B	B_lineage:0	1675	Naive B Cell	True	Naive B Cell	2.3714841014581687	0.3060334114651095	2.0654506899930594	0.9725421549014004	0.4411940298507463	0.6017057569296376	4.2119402985074625	0.7777777777777778	cluster_consensus_marker_source_support	Naive B Cell:1070; B Cell:542; Memory B Cell:53; Blood Cell:5	Naive B Cell:1415; Memory B Cell:187; B Cell:60; Treg:9	Blood Cell:1657; Treg:9; RBC:7; HSC:2	Naive B Cell:1395; Memory B Cell:203; Blood Cell:76; B Cell:1	B Cell:1598; Blood Cell:77	Naive B Cell:1627; Memory B Cell:48	Naive B Cell:1548; Memory B Cell:126; not_available:1	873.0	1298.7537475197933	2.1618870257345444
vaccination_study_09	Myeloid/DC	Myeloid_lineage:8	1574	Classical Monocyte	True	Classical Monocyte	1.5712593681305411	1.0506603588500325	0.5205990092805086	0.7659724206916261	0.10864040660736976	0.41840624432746415	2.928843710292249	1.0	cluster_consensus_marker_source_support	Classical Monocyte:1466; Non-Classical Monocyte:72; Blood Cell:25; Myeloid Cell:10	RBC:1404; Classical Monocyte:138; Non-Classical Monocyte:31; Conventional DC 2:1	RBC:1404; Classical Monocyte:138; Non-Classical Monocyte:31; Blood Cell:1	Classical Monocyte:1554; Non-Classical Monocyte:11; Blood Cell:9	Monocyte:1565; Blood Cell:9	Classical Monocyte:1314; Blood Cell:250; Non-Classical Monocyte:10	not_available:1574	1102.5	1475.4860837611834	1.8959660619741616
