study	broad_lineage	cluster	n_cells	chosen_label	accepted	best_candidate_before_parent_fallback	best_total_score	second_total_score	score_margin	marker_pct	marker_winner_fraction	source_fraction	source_count_mean	marker_availability	cluster_reason	top_celltypist_label	top_azimuth_pbmc_l2_label	top_azimuth_pbmc_l3_label	top_panhuman_fine_label	top_panhuman_medium_label	top_cluster_consensus_label	top_screfmapping_label	median_n_genes_by_counts	median_total_counts	median_pct_counts_mt
infection_study_01	B	B_lineage:2	402	Naive B Cell	True	Naive B Cell	2.580434303171244	0.4030860825868473	2.177348220584397	0.9722980846260288	0.4850746268656716	0.6933191186922529	4.853233830845771	1.0	cluster_consensus_marker_source_support	Naive B Cell:394; Memory B Cell:8	Naive B Cell:395; B Cell:6; Memory B Cell:1	Blood Cell:402	Naive B Cell:373; Memory B Cell:27; Blood Cell:2	B Cell:400; Blood Cell:2	Naive B Cell:395; B Cell:7	Naive B Cell:394; Memory B Cell:8	1626.0	5284.5	7.654861450195312
infection_study_01	B	B_lineage:20	132	Naive B Cell	True	Naive B Cell	1.942280312724927	0.7426755341737863	1.1996047785511408	0.942120020391814	0.2575757575757575	0.4675324675324676	3.272727272727273	1.0	cluster_consensus_marker_source_support	Naive B Cell:89; Memory B Cell:31; B Cell:11; CD4 Naive / T Central Memory:1	Naive B Cell:88; Memory B Cell:23; B Cell:18; Platelet:3	Blood Cell:129; Platelet:3	Naive B Cell:72; Memory B Cell:57; Blood Cell:3	B Cell:129; Blood Cell:3	Naive B Cell:93; B Cell:39	Naive B Cell:90; Memory B Cell:42	1629.0	5579.0	7.756122589111328
infection_study_01	B	B_lineage:21	127	Plasma Cell	True	Plasma Cell	2.2417920347077	1.8333555892633804	0.4084364454443197	0.998816546500619	0.4015748031496063	0.5376827896512936	3.763779527559055	1.0	cluster_consensus_marker_source_support	Plasma Cell:72; Plasmablast:53; Blood Cell:1; Memory B Cell:1	Plasmablast:126; CD4 Naive / T Central Memory:1	Plasma Cell:81; Plasmablast:46	Plasma Cell:124; Blood Cell:3	B Cell:124; Blood Cell:3	Plasma Cell:84; NK Cell:43	Plasma Cell:117; Memory B Cell:7; Naive B Cell:3	4233.0	40279.0	7.661096572875977
infection_study_01	B	B_lineage:22	118	Naive B Cell	True	Naive B Cell	2.739759216918363	0.4655381272612139	2.274221089657149	0.9742280241788652	0.6610169491525424	0.7021791767554475	4.915254237288136	1.0	cluster_consensus_marker_source_support	Naive B Cell:117; Memory B Cell:1	Naive B Cell:116; B Cell:1; Memory B Cell:1	Blood Cell:118	Naive B Cell:114; Memory B Cell:4	B Cell:118	Naive B Cell:117; B Cell:1	Naive B Cell:116; Memory B Cell:2	1595.5	5177.5	7.377343654632568
infection_study_01	B	B_lineage:23	117	Memory B Cell	True	Memory B Cell	2.42501796688491	0.9063313728487422	1.5186865940361676	0.9866906998761924	0.7264957264957265	0.5030525030525029	3.5213675213675213	1.0	cluster_consensus_marker_source_support	Memory B Cell:111; Naive B Cell:4; B Cell:2	Memory B Cell:78; B Cell:27; Naive B Cell:12	Blood Cell:117	Memory B Cell:111; Naive B Cell:6	B Cell:117	B Cell:114; Naive B Cell:3	Memory B Cell:112; Naive B Cell:5	2178.0	7449.0	6.304768562316895
infection_study_01	B	B_lineage:24	95	Naive B Cell	True	Naive B Cell	2.563067084359358	0.4105746121913917	2.152492472167966	0.9626392833733888	0.631578947368421	0.6270676691729323	4.389473684210526	1.0	cluster_consensus_marker_source_support	Naive B Cell:89; B Cell:3; Blood Cell:2; Memory B Cell:1	Naive B Cell:92; B Cell:3	Blood Cell:95	Naive B Cell:63; Memory B Cell:29; Blood Cell:3	B Cell:92; Blood Cell:3	Naive B Cell:87; B Cell:8	Naive B Cell:86; Memory B Cell:9	2068.0	7949.0	6.565732479095459
infection_study_01	B	B_lineage:25	93	Memory B Cell	True	Memory B Cell	1.620069634554929	1.3179987545420957	0.3020708800128335	0.8787597407326487	0.3870967741935484	0.2734254992319508	1.913978494623656	1.0	cluster_consensus_marker_source_support	Naive B Cell:35; Memory B Cell:30; B Cell:16; CD8 Cytotoxic / T Effector Memory:4	B Cell:36; Naive B Cell:30; Memory B Cell:23; CD8 Cytotoxic / T Effector Memory:2	Blood Cell:92; CD4 Naive / T Central Memory:1	Memory B Cell:64; Naive B Cell:25; Blood Cell:4	B Cell:89; Blood Cell:4	B Cell:82; Naive B Cell:10; Classical Monocyte:1	Memory B Cell:61; Naive B Cell:31; not_available:1	2537.0	10440.0	8.676470756530762
infection_study_01	B	B_lineage:26	28	B Cell	False	Plasmablast	1.6460769909886612	1.569999230848118	0.0760777601405431	0.9973417813706212	0.5357142857142857	0.1683673469387755	1.1785714285714286	1.0	cluster_parent_insufficient_consensus	Plasmablast:26; Memory B Cell:1; Plasma Cell:1	CD4 Naive / T Central Memory:20; Plasmablast:6; Treg:2	Blood Cell:17; Treg:8; Plasma Cell:2; Plasmablast:1	Plasma Cell:26; Blood Cell:2	B Cell:26; Blood Cell:2	NK Cell:27; Plasma Cell:1	Memory B Cell:14; Naive B Cell:10; Plasma Cell:4	543.5	1081.0	7.681288719177246
infection_study_01	B	B_lineage:27	32	Naive B Cell	True	Naive B Cell	1.688994467680015	0.7288111754424295	0.9601832922375856	0.9351922656762072	0.0625	0.4196428571428571	2.9375	1.0	cluster_consensus_marker_source_support	Naive B Cell:20; Memory B Cell:10; B Cell:2	Naive B Cell:20; Memory B Cell:7; B Cell:5	Blood Cell:32	Naive B Cell:19; Memory B Cell:13	B Cell:32	Naive B Cell:15; Blood Cell:11; B Cell:6	Naive B Cell:20; Memory B Cell:12	1667.0	7033.0	7.0496134757995605
infection_study_01	B	B_lineage:3	371	Naive B Cell	True	Naive B Cell	2.6425182554213533	0.3653121313823306	2.2772061240390227	0.9677918578399244	0.6469002695417789	0.6599922988063149	4.619946091644205	1.0	cluster_consensus_marker_source_support	Naive B Cell:357; Memory B Cell:12; B Cell:2	Naive B Cell:344; B Cell:26; Memory B Cell:1	Blood Cell:371	Naive B Cell:310; Memory B Cell:52; Blood Cell:9	B Cell:362; Blood Cell:9	Naive B Cell:348; B Cell:23	Naive B Cell:355; Memory B Cell:16	1687.0	5849.0	6.473684310913086
infection_study_01	B	B_lineage:4	365	Naive B Cell	True	Naive B Cell	2.5738122587753707	0.4733750273104654	2.1004372314649054	0.95972616706722	0.4904109589041096	0.6935420743639921	4.854794520547945	1.0	cluster_consensus_marker_source_support	Naive B Cell:363; Memory B Cell:2	Naive B Cell:362; B Cell:3	Blood Cell:365	Naive B Cell:323; Memory B Cell:35; Blood Cell:7	B Cell:358; Blood Cell:7	Naive B Cell:360; B Cell:5	Naive B Cell:364; Memory B Cell:1	1477.0	5257.0	7.320099353790283
infection_study_01	B	B_lineage:5	360	Memory B Cell	True	Memory B Cell	2.121124610283994	0.9390435961727202	1.182081014111274	0.9686657927317748	0.475	0.4575396825396824	3.202777777777778	1.0	cluster_consensus_marker_source_support	Memory B Cell:315; Naive B Cell:41; B Cell:4	Memory B Cell:174; B Cell:158; Naive B Cell:28	Blood Cell:360	Memory B Cell:342; Naive B Cell:15; Blood Cell:3	B Cell:357; Blood Cell:3	B Cell:344; Naive B Cell:16	Memory B Cell:322; Naive B Cell:37; Plasma Cell:1	1613.0	5835.0	7.300515651702881
infection_study_01	B	B_lineage:6	351	Memory B Cell	True	Memory B Cell	2.0560643282950477	0.8882639116198217	1.1678004166752256	0.9393343529240404	0.4017094017094017	0.468050468050468	3.276353276353277	1.0	cluster_consensus_marker_source_support	Memory B Cell:334; Naive B Cell:13; B Cell:4	B Cell:222; Memory B Cell:123; Naive B Cell:5; CD4 Naive / T Central Memory:1	Blood Cell:351	Memory B Cell:350; Naive B Cell:1	B Cell:351	B Cell:347; Naive B Cell:3; NK Cell:1	Memory B Cell:343; Naive B Cell:8	1789.0	6992.0	7.294157981872559
infection_study_01	B	B_lineage:7	302	Memory B Cell	True	Memory B Cell	2.6208949140833946	0.8078525261741226	1.813042387909272	0.9880016022139684	0.8344370860927153	0.5600756859035003	3.9205298013245033	1.0	cluster_consensus_marker_source_support	Memory B Cell:298; B Cell:3; Naive B Cell:1	Memory B Cell:282; B Cell:18; Naive B Cell:2	Blood Cell:302	Memory B Cell:302	B Cell:302	B Cell:302	Memory B Cell:302	1993.5	7568.0	7.892683029174805
infection_study_01	B	B_lineage:8	296	Memory B Cell	True	Memory B Cell	1.786730382650199	0.9580918694530232	0.8286385131971759	0.965843711310174	0.2871621621621621	0.3619691119691118	2.533783783783784	1.0	cluster_consensus_marker_source_support	Memory B Cell:173; B Cell:83; Naive B Cell:39; Blood Cell:1	B Cell:276; Memory B Cell:16; Naive B Cell:4	Blood Cell:296	Memory B Cell:285; Naive B Cell:9; Blood Cell:2	B Cell:294; Blood Cell:2	B Cell:291; Naive B Cell:5	Memory B Cell:276; Naive B Cell:20	1873.0	7143.5	8.73975944519043
infection_study_01	B	B_lineage:9	281	Naive B Cell	True	Naive B Cell	2.3791504854126293	0.4487831778418629	1.9303673075707664	0.9516968902483433	0.2491103202846975	0.6964921199796645	4.875444839857651	1.0	cluster_consensus_marker_source_support	Naive B Cell:277; Blood Cell:2; Memory B Cell:2	Naive B Cell:274; B Cell:5; Memory B Cell:2	Blood Cell:281	Naive B Cell:266; Memory B Cell:10; Blood Cell:5	B Cell:276; Blood Cell:5	Naive B Cell:275; B Cell:6	Naive B Cell:278; Memory B Cell:3	1343.0	4173.0	7.048851013183594
infection_study_01	B	leiden:22	1	B Cell	False	Naive B Cell	0.8304238584225476	0.6221667342925808	0.2082571241299667	0.9226931760250529	0.0	0.0	0.0	1.0	cluster_parent_insufficient_consensus	Blood Cell:1	B Cell:1	Blood Cell:1	Memory B Cell:1	B Cell:1	Classical Monocyte:1	Memory B Cell:1	753.0	1449.0	6.694272041320801
infection_study_01	B	leiden:33	2	Plasmablast	True	Plasmablast	1.2371750054620931	1.1079399325821655	0.1292350728799276	0.9301944505134369	0.5	0.0	0.0	1.0	cluster_consensus_marker_source_support	MAIT Cell:1; NK Cell:1	B Cell:2	Blood Cell:2	Blood Cell:1; Naive B Cell:1	Blood Cell:1; B Cell:1	B Cell:2	Memory B Cell:1; Naive B Cell:1	2924.5	10619.5	7.529469490051269
infection_study_01	B	leiden:8	1	Memory B Cell	True	Memory B Cell	1.9695441493180188	0.7939807734323794	1.1755633758856394	0.9979061976549414	1.0	0.1428571428571428	1.0	1.0	cluster_consensus_marker_source_support	CD8 Cytotoxic / T Effector Memory:1	B Cell:1	Blood Cell:1	Blood Cell:1	Blood Cell:1	B Cell:1	Memory B Cell:1	4150.0	19223.0	9.374187469482422
infection_study_01	T/NK	T_NK_lineage:0	1627	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	2.3133699266871908	1.2197909089285448	1.093579017758646	0.9593438205520356	0.3110018438844499	0.6321889542541047	4.425322679778734	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1331; CD8 Naive / T Central Memory:268; Treg:15; CD8 Cytotoxic / T Effector Memory:8	CD4 Naive / T Central Memory:1274; CD8 Naive / T Central Memory:318; Treg:18; CD4 T Effector Memory:9	Blood Cell:908; CD4 Naive / T Central Memory:413; CD8 Naive / T Central Memory:290; Treg:15	CD4 Naive / T Central Memory:1188; CD8 Naive / T Central Memory:321; CD4 T Effector Memory:59; Blood Cell:28	T Cell:1602; Blood Cell:25	CD4 Naive / T Central Memory:1603; CD4 T Effector Memory:24	CD4 Naive / T Central Memory:1391; not_available:204; Treg:27; CD4 T Effector Memory:5	1555.0	5966.0	6.90013313293457
infection_study_01	T/NK	T_NK_lineage:1	1482	NK Cell	True	NK Cell	1.767889264639894	1.0987733915425866	0.6691158730973075	0.889101303619547	0.068825910931174	0.4803354540196645	3.362348178137652	1.0	cluster_consensus_marker_source_support	NK Cell:1026; CD8 Cytotoxic / T Effector Memory:452; ydT Cell:3; Blood Cell:1	NK Cell:987; ydT Cell:267; CD8 Cytotoxic / T Effector Memory:224; CD4 T Effector Memory:4	Blood Cell:1478; CD4 T Effector Memory:4	NK Cell:786; CD8 Cytotoxic / T Effector Memory:630; Blood Cell:63; Lymphoid Cell:2	NK Cell:786; T Cell:632; Blood Cell:62; Lymphoid Cell:2	NK Cell:1398; CD8 Cytotoxic / T Effector Memory:80; MAIT Cell:4	not_available:1482	1677.5	4516.5	7.692307949066162
infection_study_01	T/NK	T_NK_lineage:10	840	CD4 T Effector Memory	True	CD4 T Effector Memory	1.6819053935753894	1.1094668625588753	0.5724385310165141	0.959562304274998	0.3523809523809524	0.282312925170068	1.9761904761904765	1.0	cluster_consensus_marker_source_support	CD8 Cytotoxic / T Effector Memory:480; CD4 T Effector Memory:190; CD4 Naive / T Central Memory:131; CD8 Naive / T Central Memory:13	CD8 Cytotoxic / T Effector Memory:343; CD4 Naive / T Central Memory:239; CD4 T Effector Memory:198; CD8 Naive / T Central Memory:49	Blood Cell:815; CD4 T Effector Memory:17; MAIT Cell:6; Lymphoid Cell:1	CD8 Cytotoxic / T Effector Memory:393; CD4 T Effector Memory:367; Blood Cell:34; CD8 Naive / T Central Memory:22	T Cell:808; Blood Cell:32	CD4 T Effector Memory:756; CD8 Cytotoxic / T Effector Memory:60; MAIT Cell:13; CD4 Naive / T Central Memory:10	not_available:455; CD4 Naive / T Central Memory:252; CD4 T Effector Memory:132; Treg:1	1519.5	5269.5	8.792981147766113
infection_study_01	T/NK	T_NK_lineage:11	814	NK Cell	True	NK Cell	2.386046361417783	0.8038433608594195	1.5822030005583636	0.9313779040128176	0.2616707616707617	0.7044577044577044	4.931203931203931	1.0	cluster_consensus_marker_source_support	NK Cell:805; CD8 Cytotoxic / T Effector Memory:8; ydT Cell:1	NK Cell:799; CD8 Cytotoxic / T Effector Memory:9; ydT Cell:6	Blood Cell:798; NK Cell:16	NK Cell:793; CD8 Cytotoxic / T Effector Memory:13; Blood Cell:5; Lymphoid Cell:3	NK Cell:793; T Cell:14; Blood Cell:4; Lymphoid Cell:3	NK Cell:808; CD8 Cytotoxic / T Effector Memory:6	not_available:814	1892.0	5138.0	6.989496231079102
infection_study_01	T/NK	T_NK_lineage:12	708	CD8 Cytotoxic / T Effector Memory	True	CD8 Cytotoxic / T Effector Memory	1.1216458560479698	0.7010162226368535	0.4206296334111163	0.7319022649479281	0.1200564971751412	0.1930992736077481	1.3516949152542372	1.0	cluster_consensus_marker_source_support	CD8 Cytotoxic / T Effector Memory:253; NK Cell:195; CD4 Naive / T Central Memory:162; CD4 T Effector Memory:43	CD4 Naive / T Central Memory:199; CD8 Cytotoxic / T Effector Memory:189; NK Cell:111; Platelet:107	Blood Cell:516; Platelet:118; CD4 T Effector Memory:24; CD8 Naive / T Central Memory:20	CD8 Cytotoxic / T Effector Memory:267; NK Cell:169; CD4 T Effector Memory:95; CD4 Naive / T Central Memory:89	T Cell:512; NK Cell:169; Blood Cell:27	CD8 Cytotoxic / T Effector Memory:248; NK Cell:182; CD4 Naive / T Central Memory:135; CD4 T Effector Memory:124	not_available:476; CD4 Naive / T Central Memory:190; CD4 T Effector Memory:35; Treg:7	1783.0	5406.5	7.084497451782227
infection_study_01	T/NK	T_NK_lineage:13	711	CD8 Cytotoxic / T Effector Memory	True	CD8 Cytotoxic / T Effector Memory	1.4593635189865517	0.7781614302786481	0.6812020887079033	0.7904923166557425	0.0492264416315049	0.3729154108900944	2.610407876230661	1.0	cluster_consensus_marker_source_support	CD8 Cytotoxic / T Effector Memory:543; NK Cell:159; ydT Cell:5; CD4 T Effector Memory:2	CD8 Cytotoxic / T Effector Memory:396; NK Cell:235; CD4 T Effector Memory:39; ydT Cell:26	Blood Cell:668; CD4 T Effector Memory:42; MAIT Cell:1	CD8 Cytotoxic / T Effector Memory:481; NK Cell:208; Blood Cell:16; CD4 T Effector Memory:4	T Cell:487; NK Cell:208; Blood Cell:16	CD8 Cytotoxic / T Effector Memory:436; NK Cell:262; CD4 T Effector Memory:11; MAIT Cell:2	not_available:708; CD4 T Effector Memory:3	1880.0	5326.0	7.83442497253418
infection_study_01	T/NK	T_NK_lineage:14	720	T Cell	False	CD4 T Effector Memory	1.4951588038536363	1.3598135302114436	0.1353452736421929	0.9272267132765276	0.1986111111111111	0.2640873015873015	1.8486111111111112	1.0	cluster_parent_insufficient_consensus	CD4 Naive / T Central Memory:324; CD8 Cytotoxic / T Effector Memory:226; CD4 T Effector Memory:134; Treg:13	CD4 Naive / T Central Memory:362; CD4 T Effector Memory:142; CD8 Cytotoxic / T Effector Memory:135; CD8 Naive / T Central Memory:68	Blood Cell:705; Treg:7; MAIT Cell:4; CD4 T Effector Memory:2	CD4 T Effector Memory:364; CD8 Cytotoxic / T Effector Memory:160; CD4 Naive / T Central Memory:82; CD8 Naive / T Central Memory:39	T Cell:691; Blood Cell:29	CD4 T Effector Memory:515; CD4 Naive / T Central Memory:156; CD8 Cytotoxic / T Effector Memory:45; MAIT Cell:4	CD4 Naive / T Central Memory:343; not_available:192; CD4 T Effector Memory:174; Treg:11	1605.5	5449.0	8.179726600646973
infection_study_01	T/NK	T_NK_lineage:15	648	CD8 Cytotoxic / T Effector Memory	True	CD8 Cytotoxic / T Effector Memory	2.0277921892261705	0.5971823691727559	1.4306098200534143	0.9447054111135388	0.3734567901234568	0.4625220458553791	3.2376543209876543	1.0	cluster_consensus_marker_source_support	CD8 Cytotoxic / T Effector Memory:572; Treg:33; NK Cell:16; CD4 Naive / T Central Memory:15	CD8 Cytotoxic / T Effector Memory:366; CD8 Naive / T Central Memory:163; CD4 Naive / T Central Memory:73; T Cell:21	Blood Cell:638; CD4 T Effector Memory:8; NK Cell:2	CD8 Cytotoxic / T Effector Memory:527; Treg:52; Blood Cell:35; Lymphoid Cell:13	T Cell:595; Blood Cell:35; Lymphoid Cell:13; NK Cell:5	CD8 Cytotoxic / T Effector Memory:633; NK Cell:8; CD4 T Effector Memory:6; MAIT Cell:1	not_available:592; CD4 Naive / T Central Memory:31; CD4 T Effector Memory:22; Treg:3	2516.5	8318.5	6.80898380279541
infection_study_01	T/NK	T_NK_lineage:16	639	NK Cell	True	NK Cell	2.268446724089836	0.7734692291832709	1.4949774949065646	0.9018461874590344	0.1314553990610328	0.7113793874357255	4.979655712050079	1.0	cluster_consensus_marker_source_support	NK Cell:639	NK Cell:631; CD8 Cytotoxic / T Effector Memory:6; MAIT Cell:2	Blood Cell:636; MAIT Cell:2; NK Cell:1	NK Cell:638; Blood Cell:1	NK Cell:639	NK Cell:634; CD8 Cytotoxic / T Effector Memory:5	not_available:639	1868.0	4848.0	5.414012908935547
infection_study_01	T/NK	T_NK_lineage:17	636	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	2.292364256435896	1.0940902876623833	1.1982739687735129	0.9569496030879032	0.2893081761006289	0.6314016172506738	4.419811320754717	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:566; CD8 Naive / T Central Memory:56; CD8 Cytotoxic / T Effector Memory:7; Treg:5	CD4 Naive / T Central Memory:560; CD8 Naive / T Central Memory:64; CD4 T Effector Memory:4; CD8 Cytotoxic / T Effector Memory:4	Blood Cell:517; CD4 Naive / T Central Memory:62; CD8 Naive / T Central Memory:55; Lymphoid Cell:1	CD4 Naive / T Central Memory:467; CD4 T Effector Memory:75; CD8 Naive / T Central Memory:61; Treg:15	T Cell:625; Blood Cell:11	CD4 Naive / T Central Memory:580; CD4 T Effector Memory:56	CD4 Naive / T Central Memory:576; not_available:48; Treg:10; CD4 T Effector Memory:2	1451.5	5707.5	6.637660503387451
infection_study_01	T/NK	T_NK_lineage:18	531	NK Cell	True	NK Cell	1.7821643352037584	0.7418118904520145	1.0403524447517438	0.8677263127230355	0.0470809792843691	0.5071294054344901	3.5499058380414312	1.0	cluster_consensus_marker_source_support	NK Cell:390; CD4 Naive / T Central Memory:73; CD8 Cytotoxic / T Effector Memory:48; Treg:11	NK Cell:362; CD4 Naive / T Central Memory:92; CD8 Cytotoxic / T Effector Memory:64; Treg:7	Blood Cell:513; Treg:12; CD4 T Effector Memory:3; Lymphoid Cell:2	NK Cell:364; Blood Cell:68; CD8 Cytotoxic / T Effector Memory:36; CD4 Naive / T Central Memory:28	NK Cell:364; T Cell:151; Blood Cell:16	NK Cell:404; CD4 Naive / T Central Memory:89; CD8 Cytotoxic / T Effector Memory:32; CD4 T Effector Memory:6	not_available:431; CD4 Naive / T Central Memory:75; CD4 T Effector Memory:15; Treg:10	1146.0	2333.0	9.047618865966797
