study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
infection_study_04	T_NK_lineage	23	388	NK Cell	CD8 Cytotoxic / T Effector Memory	0.38094192921661896	0.7301300735465158	0.34918814432989687	0.15608247422680413	0.19310567010309276	1.1891433015536292	0.18552095996587625	CD8 Cytotoxic / T Effector Memory:118; NK Cell:107; CD4 Naive / T Central Memory:91; Treg:51; T Cell:14	Blood Cell:270; NK Cell:24; CD8 Cytotoxic / T Effector Memory:21; Treg:18; Lymphoid Cell:17	not_available:320; CD4 Naive / T Central Memory:35; CD4 T Effector Memory:27; Treg:4; Memory B Cell:2	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	24	306	CD4 Naive / T Central Memory	CD8 Naive / T Central Memory	0.3156255312855062	0.6651516750763559	0.3495261437908497	0.2862908496732026	0.06323529411764706	1.5228076800836179	0.7998926474038794	CD4 Naive / T Central Memory:168; CD8 Cytotoxic / T Effector Memory:64; NK Cell:51; Treg:16; Blood Cell:3	CD4 Naive / T Central Memory:94; Blood Cell:68; CD8 Cytotoxic / T Effector Memory:63; NK Cell:39; Treg:15	not_available:169; CD4 Naive / T Central Memory:115; CD4 T Effector Memory:15; Treg:6; Naive B Cell:1	marker_final_disagreement;weak_marker_specificity
infection_study_04	T_NK_lineage	27	231	MAIT Cell	ydT Cell	0.6338528138528139	1.0	0.3661471861471861	0.01484848484848485	0.3512987012987013	1.8080952380952382	0.45638528138528156	CD4 Naive / T Central Memory:94; CD8 Cytotoxic / T Effector Memory:57; NK Cell:53; MAIT Cell:13; Treg:6	Blood Cell:74; CD8 Cytotoxic / T Effector Memory:52; MAIT Cell:49; ydT Cell:38; NK Cell:17	not_available:209; CD4 T Effector Memory:22	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	29	216	CD4 Naive / T Central Memory	CD8 Naive / T Central Memory	0.38722313634595695	0.7123157289385496	0.3250925925925926	0.2521759259259259	0.07291666666666667	1.8042371859152877	1.1736492229523248	CD4 Naive / T Central Memory:128; NK Cell:41; CD8 Cytotoxic / T Effector Memory:35; Treg:9; T Cell:2	Blood Cell:67; CD4 Naive / T Central Memory:56; CD4 T Effector Memory:27; Treg:26; NK Cell:19	not_available:104; CD4 Naive / T Central Memory:98; Treg:9; CD4 T Effector Memory:5	marker_final_disagreement
infection_study_04	T_NK_lineage	30	213	CD8 Cytotoxic / T Effector Memory	ydT Cell	0.6554225352112676	1.0	0.3445774647887324	0.006901408450704226	0.33767605633802816	2.0724882629107984	0.632830985915493	CD8 Cytotoxic / T Effector Memory:138; NK Cell:42; CD4 Naive / T Central Memory:17; Treg:6; Blood Cell:5	CD8 Cytotoxic / T Effector Memory:101; Blood Cell:61; NK Cell:44; ydT Cell:7	not_available:206; CD4 T Effector Memory:7	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	4	1203	NK Cell	NK Cell	0.7682660016625104	1.0	0.23173399833748964	0.1726317539484622	0.059102244389027433	3.0736691604322526	1.8457971737323358	NK Cell:606; CD8 Cytotoxic / T Effector Memory:384; CD4 Naive / T Central Memory:191; Treg:11; Blood Cell:7	NK Cell:870; Blood Cell:204; CD8 Cytotoxic / T Effector Memory:125; MAIT Cell:2; T Cell:1	not_available:1202; CD4 T Effector Memory:1	screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	5	1042	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	0.6653262955854127	1.0	0.3346737044145873	0.045038387715930904	0.28963531669865644	1.8906621880998082	0.08597696737044158	CD8 Cytotoxic / T Effector Memory:552; NK Cell:251; CD4 Naive / T Central Memory:210; Treg:10; Blood Cell:9	CD8 Cytotoxic / T Effector Memory:461; Blood Cell:325; NK Cell:152; ydT Cell:93; MAIT Cell:5	not_available:1031; CD4 T Effector Memory:11	screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	6	1007	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	0.6461221449851042	1.0	0.3538778550148957	0.0922343594836147	0.261643495531281	2.2413555114200596	1.5787934458788482	CD8 Cytotoxic / T Effector Memory:850; NK Cell:69; CD4 Naive / T Central Memory:65; Blood Cell:12; Treg:7	CD8 Cytotoxic / T Effector Memory:875; Blood Cell:87; NK Cell:34; MAIT Cell:6; Treg:4	not_available:994; CD4 T Effector Memory:13	screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	7	937	NK Cell	NK Cell	0.8654514407684099	1.0	0.13454855923159018	0.06507150480256135	0.06947705442902882	3.4633169690501604	2.8748431163287087	NK Cell:922; CD8 Cytotoxic / T Effector Memory:11; CD4 Naive / T Central Memory:3; B Cell:1	NK Cell:902; Blood Cell:35	not_available:937	screfmapping_missing_for_scope
infection_study_04	Myeloid_lineage	0	1341	Classical Monocyte	Intermediate Monocyte	0.612572706935123	1.0	0.38742729306487694	0.016957494407158838	0.3704697986577181	3.0126062639821027	2.3341126025354213	Classical Monocyte:1266; CD4 Naive / T Central Memory:46; Non-Classical Monocyte:17; Myeloid Cell:4; Blood Cell:4	Classical Monocyte:1205; Blood Cell:77; Intermediate Monocyte:34; Conventional DC 2:18; Neutrophil:4	not_available:1341	marker_final_disagreement
infection_study_04	Myeloid_lineage	13	433	Conventional DC 2	Intermediate Monocyte	0.554846462233036	0.998445384480919	0.443598922247883	0.2179060816012317	0.22569284064665127	2.779538106235566	1.9338106235565824	Conventional DC 2:183; CD4 Naive / T Central Memory:84; Classical Monocyte:83; Conventional DC 1:21; Myeloid Cell:19	Conventional DC 2:345; Blood Cell:40; Conventional DC 1:30; Classical Monocyte:10; Plasmacytoid DC:5	not_available:432; CD4 Naive / T Central Memory:1	marker_final_disagreement
infection_study_04	Myeloid_lineage	15	321	Classical Monocyte	Intermediate Monocyte	0.592772585669782	1.0	0.40722741433021803	0.02965732087227414	0.3775700934579439	3.0599221183800625	2.2403582554517136	Classical Monocyte:290; Non-Classical Monocyte:17; CD4 Naive / T Central Memory:9; Myeloid Cell:3; Conventional DC 2:1	Classical Monocyte:235; Blood Cell:42; Intermediate Monocyte:28; Neutrophil:8; Non-Classical Monocyte:7	not_available:321	marker_final_disagreement
infection_study_04	Myeloid_lineage	16	244	Non-Classical Monocyte	Intermediate Monocyte	0.5615300546448088	1.0	0.4384699453551913	0.020437158469945357	0.4180327868852459	2.851454918032787	0.1694330601092897	Non-Classical Monocyte:197; Classical Monocyte:23; CD4 Naive / T Central Memory:15; Myeloid Cell:3; Blood Cell:2	Intermediate Monocyte:199; Non-Classical Monocyte:32; Blood Cell:11; Classical Monocyte:1; Conventional DC 2:1	not_available:244	marker_final_disagreement
infection_study_04	Myeloid_lineage	19	227	Classical Monocyte	Intermediate Monocyte	0.4600220264317181	1.0	0.5399779735682819	0.1550660792951542	0.3849118942731278	2.6740088105726874	1.710022026431718	Classical Monocyte:167; CD4 Naive / T Central Memory:24; Non-Classical Monocyte:12; Blood Cell:9; CD8 Cytotoxic / T Effector Memory:4	Classical Monocyte:123; Intermediate Monocyte:44; Blood Cell:37; Conventional DC 2:12; Non-Classical Monocyte:7	not_available:227	marker_final_disagreement
infection_study_04	Myeloid_lineage	21	211	Classical Monocyte	Intermediate Monocyte	0.5980726698262244	1.0	0.40192733017377563	0.036524486571879934	0.3654028436018957	2.6606635071090046	1.853112164296998	Classical Monocyte:159; Non-Classical Monocyte:30; CD4 Naive / T Central Memory:10; Blood Cell:4; NK Cell:3	Classical Monocyte:102; Blood Cell:50; Intermediate Monocyte:17; Non-Classical Monocyte:15; Conventional DC 2:8	not_available:206; Memory B Cell:3; Naive B Cell:1; CD4 T Effector Memory:1	marker_final_disagreement
infection_study_04	Myeloid_lineage	22	198	Classical Monocyte	Intermediate Monocyte	0.5592592592592592	1.0	0.44074074074074077	0.08316498316498316	0.3575757575757576	2.6717171717171717	1.0225589225589227	Classical Monocyte:117; Non-Classical Monocyte:55; CD4 Naive / T Central Memory:14; Myeloid Cell:7; Blood Cell:3	Intermediate Monocyte:83; Classical Monocyte:47; Blood Cell:36; Conventional DC 2:26; Non-Classical Monocyte:5	not_available:198	marker_final_disagreement
infection_study_04	Myeloid_lineage	26	41	Classical Monocyte	Intermediate Monocyte	0.5697154471544715	1.0	0.43028455284552847	0.055284552845528454	0.375	2.8831707317073167	2.0597967479674795	Classical Monocyte:28; Blood Cell:6; CD4 Naive / T Central Memory:3; Non-Classical Monocyte:3; RBC:1	Classical Monocyte:28; Blood Cell:5; Intermediate Monocyte:4; Neutrophil:2; B Cell:1	not_available:40; Naive B Cell:1	marker_final_disagreement
infection_study_04	Myeloid_lineage	3	831	Classical Monocyte	Intermediate Monocyte	0.5969895707982351	1.0	0.4030104292017649	0.016999598876855194	0.3860108303249097	3.179687123947052	2.4669334135579626	Classical Monocyte:808; Non-Classical Monocyte:11; CD4 Naive / T Central Memory:8; Myeloid Cell:2; Plasma Cell:1	Classical Monocyte:782; Intermediate Monocyte:37; Blood Cell:7; Neutrophil:4; Non-Classical Monocyte:1	not_available:831	marker_final_disagreement
infection_study_04	Myeloid_lineage	8	598	Classical Monocyte	Intermediate Monocyte	0.6084810479375697	1.0	0.3915189520624303	0.012129319955406913	0.3793896321070234	2.9980183946488292	2.211276477146042	Classical Monocyte:520; Non-Classical Monocyte:35; CD4 Naive / T Central Memory:35; Myeloid Cell:4; B Cell:2	Classical Monocyte:534; Intermediate Monocyte:41; Blood Cell:18; Conventional DC 2:5	not_available:598	marker_final_disagreement
